FID,Project,StationName,TripCode,TripDate_UTC,SampleTime_Local,Latitude,Longitude,SecchiDepth_m,SampleDepth_m,SampleID,Salinity,Salinity_flag,DIC_umolkg,DIC_flag,Alkalinity_umolkg,Alkalinity_flag,Oxygen_umolL,Oxygen_flag,Ammonium_umolL,Ammonium_flag,Nitrate_umolL,Nitrate_flag,Nitrite_umolL,Nitrite_flag,Phosphate_umolL,Phosphate_flag,Silicate_umolL,Silicate_flag,TSSorganic_mgL,TSSinorganic_mgL,TSS_mgL,TSSall_flag,Prochlorococcus_cellsmL,Prochlorococcus_flag,Synechococcus_cellsmL,Synechococcus_flag,Picoeukaryotes_cellsmL,Picoeukaryotes_flag,Allo_mgm3,AlphaBetaCar_mgm3,Anth_mgm3,Asta_mgm3,BetaBetaCar_mgm3,BetaEpiCar_mgm3,Butfuco_mgm3,Cantha_mgm3,CphlA_mgm3,CphlB_mgm3,CphlC1_mgm3,CphlC2_mgm3,CphlC3_mgm3,CphlC1C2_mgm3,CphlideA_mgm3,Diadchr_mgm3,Diadino_mgm3,Diato_mgm3,Dino_mgm3,DvCphlA+CphlA_mgm3,DvCphlA_mgm3,DvCphlB+CphlB_mgm3,DvCphlB_mgm3,Echin_mgm3,Fuco_mgm3,Gyro_mgm3,Hexfuco_mgm3,Ketohexfuco_mgm3,Lut_mgm3,Lyco_mgm3,MgDvp_mgm3,Neo_mgm3,Perid_mgm3,PhideA_mgm3,PhytinA_mgm3,PhytinB_mgm3,Pras_mgm3,PyrophideA_mgm3,PyrophytinA_mgm3,Viola_mgm3,Zea_mgm3,Pigments_flag,AustralianMicrobiomeId,geom
combined_bgc_data.fid-2c692dc9_1899559b653_721d,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,0,MAI20090421_0,35.365,1,2075.52,1,2327.27,1,,9,0.12,1,1.9,1,,9,0.21,1,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_721e,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,10,MAI20090421_10,35.359,1,2074.78,1,2331.13,1,,9,0.12,1,1.8,1,,9,0.2,1,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_721f,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,20,MAI20090421_20,35.361,1,,9,,9,,9,0.1,1,1.9,1,,9,0.2,1,0.6,1,,,,,,,,,,,0.05,0.019,0,0.004,,,0.028,0,0.685,0.267,0,0.095,0.059,,0.058,0,0.016,0.004,0,0.691,0.006,0.267,0,0,0.044,0,0.097,0,0.003,0,0,0.032,0.01,0,0,0,0.057,0,0,0.025,0.028,0,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7220,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,30,MAI20090421_30,35.367,1,2079.13,1,2327.28,1,,9,0.16,1,1.9,1,,9,0.21,1,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7221,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,40,MAI20090421_40,35.359,1,,9,,9,,9,0.15,1,1.9,1,,9,0.21,1,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7222,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,50,MAI20090421_50,35.361,1,2075.69,1,2326.6,1,,9,0.14,1,1.9,1,,9,0.22,1,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7223,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,60,MAI20090421_60,35.375,1,,9,,9,,9,0.22,1,2,1,,9,0.22,1,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7224,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,75,MAI20090421_75,35.383,1,2077.94,1,2326.66,1,,9,0.22,1,2,1,,9,0.22,1,0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7225,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 12:00:00,-42.5967,148.2333,15.2,80,MAI20090421_80,35.371,1,2077.62,1,2336.57,1,,9,0.2,1,2,1,,9,0.24,1,0.5,1,,,,,,,,,,,0.02,0.012,0,0,,,0.015,0,0.356,0.131,0,0.044,0.033,,0,0,0.007,0,0,0.36,0.004,0.131,0,0,0.02,0,0.047,0,0,0,0,0.011,0,0,0,0,0.027,0,0,0.008,0.013,0,,POINT (148.23333 -42.59667)
combined_bgc_data.fid-2c692dc9_1899559b653_7226,NRS,Maria Island,MAI20090421,2009-04-21,2009-04-21 18:00:00,-42.5967,148.2333,15.2,WC,MAI20090421_WC,,,,,,,,,,,,,,,,,,,0.5,1.6,2.1,1,9844,1,32482,1,6625.5,1,0.039,0.027,0,0,,,0.022,0,0.7,0.253,0,0.083,0.049,,0,0,0.015,0,0,0.705,0.005,0.253,0,0,0.037,0,0.078,0,0.003,0,0,0.024,0.007,0,0,0,0.048,0,0,0.016,0.026,0,,POINT (148.23333 -42.59667)
